iter	RMSE
0	17153.79222
1	16470.90999
2	15829.72306
3	15265.721
4	14663.35478
5	14080.49867
6	13529.13633
7	13004.89195
8	12511.12149
9	12068.89877
10	11684.74966
11	11233.8606
12	10826.06465
13	10459.56007
14	10123.86085
15	9767.550922
16	9456.807888
17	9112.617905
18	8842.505197
19	8548.706634
20	8258.083645
21	7988.311802
22	7733.020546
23	7514.012272
24	7282.938454
25	7082.188149
26	6868.960049
27	6691.010498
28	6491.820358
29	6309.076101
30	6154.039444
31	6037.008509
32	5872.051405
33	5734.334976
34	5587.536318
35	5467.492494
36	5334.142731
37	5215.333432
38	5095.311516
39	4987.983019
40	4882.456038
41	4787.232313
42	4695.097954
43	4621.689694
44	4543.738259
45	4456.973544
46	4383.794995
47	4283.311873
48	4213.889006
49	4139.379735
50	4077.516451
51	4006.268844
52	3954.189615
53	3884.142278
54	3833.317461
55	3787.232207
56	3728.122345
57	3670.122886
58	3624.50776
59	3580.784854
60	3533.440857
61	3489.463778
62	3445.911446
63	3406.69145
64	3374.357007
65	3332.174407
66	3293.26294
67	3252.841026
68	3218.120462
69	3185.10702
70	3160.549604
71	3130.581013
72	3102.304377
73	3074.960579
74	3034.401993
75	3012.832621
76	2989.693441
77	2956.597812
78	2920.269344
79	2892.441354
80	2854.18957
81	2821.83928
82	2803.430718
83	2781.695907
84	2758.76695
85	2741.943044
86	2713.984099
87	2692.477176
88	2669.788273
89	2650.116851
90	2624.562672
91	2605.942952
92	2591.402709
93	2572.534026
94	2555.194402
95	2538.184947
96	2519.844416
97	2503.113728
98	2492.924196
99	2476.924102
100	2458.165812
101	2443.592357
102	2430.166714
103	2418.856523
104	2405.115716
105	2389.672577
106	2377.479997
107	2364.266784
108	2349.281434
109	2336.213919
110	2323.821205
111	2314.049782
112	2296.151976
113	2287.269819
114	2280.215191
115	2258.341121
116	2240.042366
117	2228.865704
118	2216.932882
119	2203.641162
120	2191.30546
121	2175.38778
122	2167.087333
123	2159.444936
124	2151.621111
125	2139.073034
126	2127.422232
127	2120.184337
128	2110.511465
129	2103.815208
130	2098.905113
131	2085.013299
132	2070.760902
133	2061.714624
134	2053.621194
135	2041.083868
136	2027.372432
137	2016.505191
138	2011.729011
139	2000.648004
140	1993.511084
141	1987.912589
142	1978.678297
143	1969.73982
144	1963.135419
145	1951.680543
146	1944.967965
147	1938.22981
148	1932.170693
149	1919.932712
150	1911.946959
151	1905.121874
152	1899.503781
153	1892.926996
154	1887.624568
155	1877.79485
156	1871.646508
157	1865.156565
158	1860.372838
159	1853.536704
160	1845.364113
161	1835.026884
162	1826.345601
163	1820.7055
164	1813.560732
165	1803.724802
166	1796.342939
167	1789.716201
168	1786.433161
169	1779.321396
170	1774.66506
171	1771.829732
172	1766.918248
173	1761.784993
174	1758.855873
175	1753.802239
176	1748.257627
177	1743.160013
178	1738.406817
179	1731.783856
180	1724.463453
181	1719.451015
182	1715.451405
183	1709.414672
184	1703.601362
185	1698.691256
186	1694.149003
187	1688.781149
188	1681.049618
189	1676.510688
190	1674.508886
191	1670.857146
192	1664.579009
193	1659.990451
194	1654.895233
195	1650.551674
196	1644.651424
197	1641.138687
198	1638.352952
199	1633.563398
200	1625.440885
201	1619.333627
202	1613.90964
203	1609.26664
204	1603.779653
205	1601.750327
206	1597.537466
207	1595.738269
208	1592.08974
209	1588.035439
210	1583.225251
211	1580.813644
212	1573.366286
213	1566.958096
214	1561.292611
215	1557.871099
216	1552.748352
217	1547.681934
218	1544.326857
219	1541.324149
220	1535.637584
221	1533.930063
222	1528.976062
223	1525.240557
224	1519.931342
225	1516.41484
226	1513.777495
227	1510.389736
228	1507.30486
229	1504.331688
230	1501.685822
231	1495.387763
232	1489.416905
233	1487.892682
234	1482.988243
235	1479.815261
236	1475.115315
237	1473.597618
238	1469.402617
239	1467.034185
240	1464.797621
241	1463.350464
242	1460.546854
243	1459.176513
244	1454.575756
245	1450.577311
246	1446.344175
247	1443.686123
248	1441.740136
249	1440.421436
250	1436.873229
251	1433.316781
252	1430.871644
253	1429.596012
254	1428.181413
255	1425.260276
256	1420.593996
257	1418.250303
258	1415.038901
259	1411.600182
260	1407.843837
261	1404.686392
262	1401.05379
263	1396.744267
264	1392.968358
265	1389.746973
266	1388.60125
267	1386.028365
268	1383.081091
269	1380.728965
270	1377.240873
271	1373.69017
272	1370.046297
273	1367.010807
274	1363.94906
275	1362.093137
276	1358.431398
277	1355.631507
278	1353.045068
279	1350.032026
280	1346.222807
281	1345.154812
282	1342.259898
283	1341.241471
284	1339.113432
285	1336.153733
286	1331.272483
287	1328.107625
288	1327.120177
289	1325.287684
290	1322.59748
291	1319.456703
292	1317.445788
293	1313.503397
294	1312.402802
295	1310.336626
296	1307.229808
297	1303.324822
298	1301.131591
299	1297.853545
300	1294.666938
301	1292.754527
302	1291.169072
303	1289.366359
304	1286.826996
305	1284.326877
306	1283.492595
307	1280.921676
308	1277.572069
309	1275.651487
310	1272.315639
311	1267.708429
312	1265.103185
313	1262.840817
314	1260.413595
315	1258.363625
316	1254.45586
317	1251.856984
318	1250.198008
319	1248.110537
320	1244.923312
321	1243.310974
322	1240.949962
323	1238.759447
324	1237.081156
325	1234.701667
326	1232.694846
327	1231.27232
328	1228.302596
329	1224.987826
330	1222.773545
331	1220.254388
332	1217.22114
333	1215.405352
334	1212.237918
335	1209.542307
336	1208.065205
337	1205.608759
338	1203.625486
339	1200.84139
340	1198.983257
341	1198.361907
342	1197.000613
343	1194.976758
344	1193.716867
345	1192.405957
346	1188.379618
347	1186.186989
348	1182.740692
349	1180.306586
350	1177.868425
351	1174.625869
352	1172.948206
353	1171.624943
354	1170.166374
355	1167.376348
356	1163.909709
357	1161.29813
358	1158.186848
359	1157.645216
360	1155.516584
361	1153.264982
362	1151.21678
363	1149.144606
364	1146.345134
365	1144.166997
366	1142.414251
367	1141.071762
368	1139.101343
369	1136.703022
370	1135.769409
371	1132.487089
372	1129.649249
373	1129.148346
374	1127.060565
375	1126.452713
376	1124.064432
377	1122.482181
378	1121.317829
379	1118.596108
380	1116.056402
381	1114.400415
382	1112.958561
383	1110.661361
384	1109.489663
385	1108.220981
386	1107.169999
387	1104.379824
388	1102.486119
389	1099.621232
390	1097.629617
391	1095.091591
392	1090.899433
393	1089.883464
394	1087.209517
395	1084.294203
396	1081.994586
397	1079.833945
398	1078.429163
399	1077.108834
400	1074.781337
401	1074.094422
402	1073.552045
403	1072.076563
404	1070.677067
405	1069.466086
406	1068.528358
407	1066.57227
408	1066.049604
409	1064.108221
410	1060.494362
411	1058.913808
412	1056.838987
413	1053.414604
414	1051.529544
415	1049.46813
416	1047.331336
417	1046.326129
418	1044.590096
419	1041.553924
420	1040.773878
421	1038.906752
422	1038.503355
423	1036.677612
424	1034.449664
425	1033.143638
426	1031.26294
427	1030.437707
428	1029.236435
429	1028.431389
430	1027.101986
431	1025.866593
432	1024.021992
433	1022.785767
434	1022.084199
435	1020.893164
436	1019.564
437	1018.669065
438	1016.918262
439	1016.212639
440	1015.356312
441	1014.660893
442	1013.511605
443	1012.966451
444	1011.281241
445	1008.92054
446	1005.967143
447	1004.196675
448	1002.98472
449	1002.296017
450	1001.384584
451	999.7272596
452	998.864103
453	997.3686812
454	995.1507741
455	994.1664405
456	991.9301516
457	990.3044782
458	989.0447784
459	988.4130756
460	987.6071265
461	986.837365
462	984.8976639
463	983.9438921
464	982.0320119
465	980.7844171
466	979.2408998
467	977.2535734
468	975.9827841
469	974.924871
470	973.9086857
471	972.3601015
472	971.4699765
473	970.1130086
474	969.1847331
475	968.0933585
476	967.0168579
477	965.4839741
478	963.6419699
479	960.9400632
480	959.9950273
481	958.8525604
482	957.1546116
483	956.6568048
484	956.0355872
485	954.4428163
486	952.574695
487	951.3326607
488	950.2659301
489	949.0487161
490	947.2362383
491	945.9081495
492	944.4499615
493	943.5981474
494	942.9919125
495	942.4156773
496	941.4462128
497	939.0609703
498	938.1456364
499	936.689384
500	936.3804652
501	935.5724823
502	935.1931945
503	933.9470027
504	933.2652303
505	931.6077101
506	930.5670605
507	929.4365613
508	928.3502612
509	927.7868499
510	927.4269565
511	925.4187003
512	924.4087806
513	922.9016672
514	921.8849327
515	920.1508755
516	919.8800892
517	918.9896991
518	917.4288843
519	916.5378957
520	914.8621444
521	913.8395124
522	913.4891741
523	912.0646578
524	911.8098654
525	910.7315254
526	910.0407375
527	909.3322745
528	907.4825795
529	905.9958376
530	904.9850795
531	904.3827407
532	902.9776308
533	901.2800169
534	900.0979176
535	899.2712499
536	897.8550517
537	896.136945
538	895.3658811
539	894.2466181
540	893.5531976
541	891.9341994
542	890.5962159
543	889.8619533
544	888.7473354
545	887.9492752
546	886.5306777
547	884.5233633
548	883.0821473
549	881.4127952
550	880.0303833
551	878.9120985
552	878.0162076
553	876.9973321
554	876.0518973
555	875.1331319
556	873.7933523
557	873.1466041
558	871.7211588
559	869.9740437
560	869.0355434
