iter	Passed	Remaining
0	7	7975
1	14	7405
2	21	7131
3	28	7107
4	37	7425
5	44	7388
6	51	7289
7	58	7256
8	65	7210
9	72	7166
10	80	7197
11	86	7097
12	92	7025
13	98	6943
14	104	6870
15	110	6820
16	117	6784
17	123	6747
18	130	6742
19	137	6731
20	143	6712
21	149	6659
22	157	6697
23	164	6686
24	172	6722
25	180	6752
26	189	6837
27	198	6876
28	205	6894
29	213	6918
30	221	6923
31	230	6985
32	238	7001
33	248	7046
34	255	7040
35	261	6999
36	267	6966
37	275	6966
38	282	6962
39	289	6939
40	295	6918
41	302	6896
42	309	6892
43	316	6885
44	324	6890
45	332	6886
46	338	6862
47	345	6843
48	353	6862
49	382	7273
50	390	7274
51	397	7242
52	406	7259
53	415	7278
54	424	7299
55	431	7273
56	444	7347
57	452	7352
58	464	7409
59	475	7455
60	485	7468
61	491	7437
62	498	7407
63	504	7380
64	510	7350
65	516	7314
66	524	7306
67	532	7295
68	538	7268
69	546	7261
70	555	7269
71	565	7289
72	573	7286
73	581	7272
74	588	7254
75	595	7238
76	602	7224
77	609	7205
78	616	7191
79	624	7186
80	631	7167
81	638	7149
82	645	7132
83	654	7132
84	661	7116
85	668	7107
86	675	7083
87	681	7064
88	689	7057
89	697	7049
90	704	7034
91	710	7007
92	717	6998
93	723	6978
94	730	6954
95	736	6931
96	743	6919
97	750	6903
98	755	6878
99	762	6863
100	770	6859
101	778	6849
102	784	6831
103	791	6815
104	798	6804
105	804	6784
106	811	6768
107	818	6759
108	824	6739
109	829	6712
110	835	6693
111	842	6681
112	848	6662
113	856	6654
114	863	6648
115	869	6627
116	875	6607
117	882	6593
118	888	6575
119	895	6566
120	903	6565
121	911	6561
122	918	6546
123	924	6528
124	929	6509
125	937	6500
126	943	6485
127	950	6474
128	957	6465
129	964	6457
130	971	6445
131	979	6438
132	985	6423
133	992	6411
134	998	6399
135	1004	6381
136	1011	6370
137	1018	6359
138	1024	6344
139	1030	6332
140	1038	6328
141	1044	6309
142	1049	6292
143	1057	6283
144	1063	6272
145	1071	6265
146	1077	6252
147	1084	6240
148	1091	6233
149	1097	6220
150	1104	6207
151	1111	6198
152	1116	6183
153	1122	6166
154	1128	6152
155	1135	6144
156	1141	6129
157	1147	6113
158	1153	6103
159	1163	6108
160	1171	6104
161	1179	6100
162	1186	6094
163	1195	6091
164	1202	6086
165	1211	6084
166	1218	6079
167	1224	6065
168	1231	6054
169	1238	6045
170	1244	6032
171	1250	6021
172	1258	6015
173	1281	6082
174	1288	6073
175	1294	6062
176	1300	6047
177	1308	6042
178	1314	6028
179	1320	6015
180	1328	6010
181	1335	6001
182	1341	5987
183	1347	5977
184	1355	5973
185	1361	5957
186	1368	5949
187	1374	5937
188	1381	5929
189	1388	5921
190	1394	5906
191	1401	5897
192	1407	5884
193	1413	5871
194	1419	5858
195	1425	5848
196	1433	5841
197	1439	5829
198	1445	5818
199	1452	5811
200	1459	5799
201	1465	5791
202	1471	5778
203	1479	5772
204	1486	5764
205	1492	5754
206	1500	5748
207	1508	5743
208	1517	5743
209	1539	5790
210	1545	5780
211	1556	5784
212	1564	5782
213	1582	5813
214	1599	5841
215	1606	5832
216	1617	5835
217	1624	5825
218	1631	5819
219	1640	5814
220	1647	5808
221	1654	5797
222	1660	5787
223	1667	5777
224	1673	5765
225	1680	5755
226	1687	5744
227	1693	5732
228	1700	5724
229	1706	5713
230	1711	5698
231	1718	5688
232	1725	5679
233	1731	5667
234	1737	5656
235	1744	5648
236	1751	5637
237	1757	5625
238	1763	5613
239	1769	5603
240	1774	5588
241	1782	5581
242	1789	5573
243	1797	5567
244	1802	5555
245	1808	5543
246	1815	5534
247	1822	5526
248	1829	5516
249	1836	5509
250	1844	5502
251	1850	5492
252	1857	5483
253	1864	5475
254	1872	5469
255	1879	5462
256	1887	5456
257	1893	5447
258	1901	5439
259	1907	5429
260	1914	5420
261	1921	5411
262	1927	5402
263	1934	5394
264	1941	5385
265	1947	5374
266	1954	5365
267	1960	5355
268	1968	5348
269	1974	5339
270	1981	5331
271	1988	5323
272	1995	5313
273	2001	5302
274	2007	5291
275	2014	5283
276	2020	5274
277	2026	5263
278	2034	5256
279	2041	5250
280	2048	5241
281	2055	5234
282	2068	5239
283	2074	5231
284	2082	5224
285	2088	5215
286	2095	5206
287	2101	5195
288	2107	5186
289	2115	5178
290	2121	5168
291	2127	5157
292	2134	5149
293	2140	5140
294	2146	5130
295	2153	5121
296	2159	5111
297	2166	5104
298	2173	5095
299	2179	5085
300	2186	5076
301	2192	5067
302	2197	5055
303	2203	5044
304	2211	5039
305	2218	5030
306	2224	5022
307	2231	5014
308	2237	5003
309	2244	4995
310	2251	4988
311	2257	4978
312	2263	4968
313	2270	4961
314	2276	4949
315	2283	4943
316	2291	4936
317	2297	4927
318	2303	4917
319	2310	4909
320	2317	4901
321	2323	4891
322	2331	4886
323	2338	4879
324	2344	4869
325	2351	4861
326	2356	4850
327	2363	4843
328	2370	4834
329	2377	4826
330	2385	4820
331	2391	4812
332	2397	4803
333	2405	4795
334	2412	4789
335	2418	4778
336	2425	4771
337	2432	4763
338	2437	4752
339	2443	4742
340	2450	4734
341	2456	4725
342	2463	4718
343	2469	4709
344	2475	4700
345	2482	4692
346	2489	4684
347	2495	4674
348	2503	4669
349	2509	4659
350	2515	4651
351	2522	4644
352	2529	4636
353	2536	4628
354	2542	4620
355	2548	4610
356	2556	4603
357	2561	4593
358	2567	4584
359	2573	4575
360	2580	4567
361	2586	4558
362	2593	4550
363	2600	4544
364	2607	4536
365	2614	4528
366	2621	4521
367	2628	4514
368	2635	4506
369	2643	4500
370	2650	4493
